1 - GARBE;;;;;;;;;;;;;;;;;
IMMOBILIE LISTE;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Stichtag;;;04.05.2026;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Mand;Port;Immo;Bezeichnung;Vehikel;Strasse;Hausnummer;PLZ;Ort;Land;Währung *;Fläche *;Zeitbezug *;Finanzierungsmodell *;gültig von;gültig bis;Nummer Mandant Extern;Zusätzliche Kostenstellen?
1;1335772690;715;Herne - Lindenallee 4;GLIF;Lindenallee;4;44625;Herne;Deutschland;€;m²;Monat;;03.12.2018;;50.00;
1;1335772690;716;Hof - Wilhelm-Maybach-Str. 2;GLIF;Wilhelm-Maybach-Straße;2;95028;Hof;Deutschland;€;m²;Monat;;01.10.2020;;50.00;
1;1335772690;717;Nohra - Querenstr. 8;GLIF;Querenstraße;8;99428;Nohra;Deutschland;€;m²;Monat;;01.10.2020;;50.00;
1;1335772690;718;Münster;GLIF;Steinbrede;25;48163;Münster;Deutschland;€;m²;Monat;;01.10.2020;;50.00;
1;1335772690;720;Gudensberg;GLIF;Bahnwiesenweg;20;34281;Gudensberg;Deutschland;€;m²;Monat;;22.03.2019;;50.00;
1;1335772690;721;Staufenberg;GLIF;Didierstraße;42;35460;Staufenberg;Deutschland;€;m²;Monat;;22.03.2019;;50.00;
1;1335772690;722;Neuhof;GLIF;Schaffeld;6;36119;Neuhof;Deutschland;€;m²;Monat;;22.03.2019;;50.00;
1;1335772690;723;Nörten Hardenberg;GLIF;Klosteracker;5;37176;Nörten Hartenberg;Deutschland;€;m²;Monat;;01.08.2019;;50.00;
1;1335772690;724;Norderstedt - Mühlenweg 144;GLIF;Mühlenweg;144;22844;Norderstedt;Deutschland;€;m²;Monat;;01.01.2020;;50.00;
1;1335772690;725;Norderstedt - Oststraße 3;GLIF;Oststraße;3;22844;Norderstedt;Deutschland;€;m²;Monat;;01.01.2020;;50.00;
1;1335772690;726;Norderstedt - Nordportbogen 4;GLIF;Nordportbogen;4;22848;Norderstedt;Deutschland;€;m²;Monat;;01.01.2020;;50.00;
1;1335772690;727;Bremerhaven;GLIF;Überseering;22;27580;Bremerhaven;Deutschland;€;m²;Monat;;02.01.2020;;50.00;
1;1335772690;728;Neu Wulmstorf;GLIF;Am Holz;3;21629;Neu Wulmstorf;Deutschland;€;m²;Monat;;02.01.2020;;50.00;
1;1335772690;730;Marl;GLIF;Werrastraße;4;45768;Marl;Deutschland;€;m²;Monat;;01.10.2021;;50.00;
1;1335772690;731;Worms;GLIF;Mittelrheinstraße;30;67550;Worms;Deutschland;€;m²;Monat;;01.09.2021;;50.00;
1;1335772690;732;Choren - Nossener Berg 20;GLIF;Nossener Berg;20;04720;Choren;Deutschland;€;m²;Monat;;01.04.2022;;50.00;
1;1335772690;733;Rieste - Hannoversche Straße 5;GLIF;Hannoversche Straße;5;49597;Rieste;Deutschland;€;m²;Monat;;01.10.2022;;50.00;
1;1347600064;478;Almere, Rhijnauwen 4-6;GIANT;Business Parks Stichtsekant;;1358 CD;Almere;Niederlande;€;m²;Monat;;10.07.2020;;;
1;1382215756;7043;Lensahn;GLIFPLUSIII;Schwienkuhler Weg;5+7;23738;Lensahn;Deutschland;€;m²;Monat;;01.01.2024;;29.00;
1;1406414891;4015;Pernis Rotterdam;UIIGARBEGENO;Seattleweg;13;3195 ND;Pernis Rotterdam;Niederlande;€;m²;Monat;;08.07.2022;;;
1;1431898162;7007;Bamberg - Rheinstraße 9;GLIFPLUSIII;Rheinstraße;9;96052;Bamberg;Deutschland;€;m²;Monat;;01.01.2022;;29.00;
1;1431898162;7008;Dissen II - Dissener Heide 8;GLIFPLUSIII;Dissener Heide;8;49201;Dissen;Deutschland;€;m²;Monat;;01.09.2022;;29.00;
1;1431898162;7009;Flörsheim;GLIFPLUSIII;Mariechen-Graulich-Str;6;65439;Flörsheim;Deutschland;€;m²;Monat;;01.09.2022;;29.00;
1;1431898162;7011;Heppenheim II;GLIFPLUSIII;Von-Humboldt-Straße;10;64646;Heppenheim;Deutschland;€;m²;Monat;;01.09.2022;;29.00;
1;1431898162;7012;Muggensturm - Heinkelstraße 7;GLIFPLUSIII;Heinkelstraße;7;76461;Muggensturm;Deutschland;€;m²;Monat;;01.09.2022;;29.00;
1;1431898162;7013;Oyten - Lübkemann Straße 18-20;GLIFPLUSIII;Lübkemann Straße;18-20;28876;Oyten;Deutschland;€;m²;Monat;;01.09.2022;;29.00;
1;1432045618;7014;Ansbach - Robert-Bosch-Straße 5;GLIFPLUSIII;Robert-Bosch-Straße;5;91522;Ansbach;Deutschland;€;m²;Monat;;01.09.2022;;29.00;
1;1432045618;7016;Hamburg - Rondenbarg 25;GLIFPLUSIII;Rondenbarg;25;22525;Hamburg;Deutschland;€;m²;Monat;;01.09.2022;;29.00;
