Fonds;"Immobilie
Numer";"Immobilie
Bezeichnung";GARBE Niederlassung;;Mieteinheit;Art;Stockwerk;Anzahl Stellplätze;Fläche;;Lease ID;Mietername;Mietbeginn;vereinbartes Vertragsende;Vertragsende (Kündigung);tatsächliches Vertragsende;Sonderkündigung Frist;Sonderkündigung zum;Kündigung Frist;Kündigung zum;Laufzeit Option;Frist Optionsziehung;MV-Ende nach Optionsziehung;Anzahl weiterer Optionen;maximale Mietlaufzeit;WAULT;WAULB;WAULE;;Jahresnettomiete;Nettomiete;Investitionsmiete;Ende mietfreie Zeit;Betrag mietfreie Zeit;Marktmiete;AM-ERV;Potenzial;Nettomiete;Marktmiete;AM-ERV;;NKVZ;NK-Pauschale;NKVZ;NK-Pauschale;Gesamtnettomiete;Gesamtnettomiete;Mieter UST-pflichtig;;proz. Mieterhöhung;Erhöhungs-Prozentsatz;nächste Erhöhung;Erhöhungszyklen;;Indexmieterhöhung;Wertsicherung Art;Schwellwert;Datum;Weitergabe;Green Lease
;;;;;;;;Stück;m²;;;;;;;;;;;;Monate;;;;;Jahre;Jahre;Jahre;;€/Jahr;€/Mt;€/Mt;;€/Mt;€/Mt;€/Mt;%;€/m²/a;€/m²/a;€/m²/a;;€/Mt;€/Mt;€/m²/a;€/m²/a;€/Mt;€/m²/a;;;;;;;;;;;;%;
GLIFPLUSII;1002;Regensburg;Frankfurt;;50000;Stellplätze;EG;55;;;1002.00001;Kühne + Nagel (AG & Co.) KG;23.12.2020;06.11.2029;;06.11.2029;;;;;60;06.02.2029;06.11.2034;0;06.11.2034;;;;;;;;;;608;0;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
GLIFPLUSII;1002;Regensburg;Frankfurt;;50002;Stellplätze;EG;3;;;1002.00001;Kühne + Nagel (AG & Co.) KG;23.12.2020;06.11.2029;;06.11.2029;;;;;60;06.02.2029;06.11.2034;0;06.11.2034;;;;;;;;;;;0;-100.0%;;;;;;;;;;;1;;false;;;;;true;;;;;0
GLIFPLUSII;1002;Regensburg;Frankfurt;;90000;Sonstige;EG;;0;;1002.00001;Kühne + Nagel (AG & Co.) KG;23.12.2020;06.11.2029;;06.11.2029;;;;;60;06.02.2029;06.11.2034;0;06.11.2034;3.54;;;;172'451;14'371;;;;;13'687;-100.0%;NaN;;NaN;;0;287;NaN;NaN;14'658;NaN;1;;false;;;;;true;Datum;;01.09.2026;75%;0
GLIFPLUSII;1002;Regensburg;Frankfurt;;10001;Halle;EG;;5'936;;1002.00002;MBS Logistik GmbH;01.05.2021;30.04.2031;;30.04.2031;;;;;60;30.04.2030;30.04.2036;0;30.04.2036;5.03;;;;451'870;37'656;;;;37'575;37'656;-0.2%;76.12;75.96;76.12;;11'338;1'130;22.92;2.28;50'123;101.33;1;;false;;;;;true;Datum;;01.04.2027;100%;0
GLIFPLUSII;1002;Regensburg;Frankfurt;;20001;Büro;EG;;281;;1002.00002;MBS Logistik GmbH;01.05.2021;30.04.2031;;30.04.2031;;;;;60;30.04.2030;30.04.2036;0;30.04.2036;5.03;;;;34'710;2'892;;;;2'911;2'892;0.6%;123.52;124.32;123.52;;537;87;22.92;3.71;3'516;150.15;1;;false;;;;;true;Datum;;01.04.2027;100%;0
GLIFPLUSII;1002;Regensburg;Frankfurt;;30001;Empore/Mezzanine;EG;;799;;1002.00002;MBS Logistik GmbH;01.05.2021;30.04.2031;;30.04.2031;;;;;60;30.04.2030;30.04.2036;0;30.04.2036;5.03;;;;29'838;2'486;;;;2'525;2'486;1.5%;37.34;37.92;37.34;;1'526;75;22.92;1.12;4'087;61.38;1;;false;;;;;true;Datum;;01.04.2027;100%;0
GLIFPLUSII;1002;Regensburg;Frankfurt;;50001;Stellplätze;EG;27;;;1002.00002;MBS Logistik GmbH;01.05.2021;30.04.2031;;30.04.2031;;;;;60;30.04.2030;30.04.2036;0;30.04.2036;5.03;;;;10'054;838;;;;299;838;-64.4%;;;;;0;25;;;863;;1;;false;;;;;true;Datum;;01.04.2027;100%;0
GLIFPLUSII;1002;Regensburg;Frankfurt;;50003;Stellplätze;EG;1;;;1002.00002;MBS Logistik GmbH;01.05.2021;30.04.2031;;30.04.2031;;;;;60;30.04.2030;30.04.2036;0;30.04.2036;;;;;0;0;;;;;0;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
1002 - Regensburg, Bukarester Straße 11;;;;;;;;86;18'891;;;;;;;;;;;;;;;;;4.10;;;;1'395'742;116'312;;;;118'789;114'283;2.1%;73.88;75.46;72.60;;24'801;2'765;15.75;1.76;143'877;91.39;100.00%;;;;;;;;;;;;
GLIFPLUSII;1003;Beselich;Frankfurt;;10000;Halle;EG;;11'298;;1003.00001;BRITA SE;29.05.2020;29.05.2030;29.05.2030;29.05.2030;;;;;;;;0;;4.11;;;;665'371;55'448;;29.05.2030;-686;62'139;;12.1%;58.89;66.00;;;4'579;554;4.86;0.59;60'581;64.35;1;;false;;;;;true;Datum;;01.09.2026;100%;0
