Fonds;"Immobilie
Numer";"Immobilie
Bezeichnung";GARBE Niederlassung;;Mieteinheit;Art;Stockwerk;Anzahl Stellplätze;Fläche;;Lease ID;Mietername;Mietbeginn;vereinbartes Vertragsende;Vertragsende (Kündigung);tatsächliches Vertragsende;Sonderkündigung Frist;Sonderkündigung zum;Kündigung Frist;Kündigung zum;Laufzeit Option;Frist Optionsziehung;MV-Ende nach Optionsziehung;Anzahl weiterer Optionen;maximale Mietlaufzeit;WAULT;WAULB;WAULE;;Jahresnettomiete;Nettomiete;Investitionsmiete;Ende mietfreie Zeit;Betrag mietfreie Zeit;Marktmiete;AM-ERV;Potenzial;Nettomiete;Marktmiete;AM-ERV;;NKVZ;NK-Pauschale;NKVZ;NK-Pauschale;Gesamtnettomiete;Gesamtnettomiete;Mieter UST-pflichtig;;proz. Mieterhöhung;Erhöhungs-Prozentsatz;nächste Erhöhung;Erhöhungszyklen;;Indexmieterhöhung;Wertsicherung Art;Schwellwert;Datum;Weitergabe;Green Lease
;;;;;;;;Stück;m²;;;;;;;;;;;;Monate;;;;;Jahre;Jahre;Jahre;;€/Jahr;€/Mt;€/Mt;;€/Mt;€/Mt;€/Mt;%;€/m²/a;€/m²/a;€/m²/a;;€/Mt;€/Mt;€/m²/a;€/m²/a;€/Mt;€/m²/a;;;;;;;;;;;;%;
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;22122;Büro;1. OG;;36;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;429;;;0.00;144.00;;;0;;0.00;;0;0.00;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;22127;Büro;1. OG;;17;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;198;;;0.00;144.00;;;0;;0.00;;0;0.00;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;22130;Büro;1. OG;;363;;114.L0002;LEERSTAND;01.01.2025;;;;;;;;;;;0;;;;;;;;;;;4'357;;-100.0%;;144.00;;;0;;0.00;;0;0.00;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;22132;Büro;1. OG;;24;;114.L0002;LEERSTAND;01.01.2025;;;;;;;;;;;0;;;;;;;;;;;291;;-100.0%;;144.00;;;0;;0.00;;0;0.00;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50001;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50002;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50003;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50004;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50005;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50006;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50007;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50061;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.03.2025;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50062;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.03.2025;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50063;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.03.2025;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50064;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50065;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50066;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50067;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50068;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50069;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50070;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50071;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50072;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50073;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.04.2022;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50074;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.04.2022;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50075;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.04.2022;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50076;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.04.2022;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50077;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.04.2022;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50078;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.04.2022;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50079;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.04.2022;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50080;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.04.2022;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50081;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.04.2022;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50082;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.04.2022;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50083;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.04.2022;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50084;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.04.2022;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50085;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.04.2022;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50086;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.04.2022;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50087;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.04.2022;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50088;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50089;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.01.2015;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50090;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.05.2020;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50091;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.05.2020;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50092;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.05.2020;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50099;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50100;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50101;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50102;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.11.2016;;;;;;;;;;;0;;;;;;563;47;;;;40;;-14.7%;;;;;0;;;;47;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50103;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.11.2016;;;;;;;;;;;0;;;;;;563;47;;;;40;;-14.7%;;;;;0;;;;47;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50104;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.11.2016;;;;;;;;;;;0;;;;;;563;47;;;;40;;-14.7%;;;;;0;;;;47;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50105;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.11.2016;;;;;;;;;;;0;;;;;;563;47;;;;40;;-14.7%;;;;;0;;;;47;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50106;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.11.2016;;;;;;;;;;;0;;;;;;563;47;;;;40;;-14.7%;;;;;0;;;;47;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50107;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.03.2025;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50108;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.03.2025;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50109;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.03.2025;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50110;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.03.2025;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50111;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.03.2025;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50112;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.03.2025;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50113;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50120;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.09.2022;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50121;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.09.2022;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50122;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.09.2022;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50123;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.09.2022;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50124;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.09.2022;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50125;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50126;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50127;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.01.2015;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;;;;;;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50128;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.01.2015;;;;;;;;;;;0;;;;;;;;;;0;40;;-100.0%;;;;;;;;;;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50129;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.03.2025;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50130;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.03.2025;;;;;;;;;;;0;;;;;;;;;;;40;;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50131;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50132;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50133;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50134;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50135;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50136;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50137;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50138;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50139;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50140;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50141;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50142;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50143;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50144;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50145;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50146;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50147;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50148;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50149;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50150;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50151;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50152;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50153;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50154;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50155;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50156;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50157;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50158;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2013;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50159;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.10.2019;;;;;;;;;;;0;;;;;;570;48;;;;40;;-15.8%;;;;;0;;;;48;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50160;Stellplätze;EG;1;;;114.L0002;LEERSTAND;01.10.2019;;;;;;;;;;;0;;;;;;570;48;;;;40;;-15.8%;;;;;0;;;;48;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50163;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.10.2025;;;;;;;;;;;0;;;;;;743;62;;;;40;;-35.4%;;;;;0;;;;62;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50164;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.11.2017;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
MATTERHORN;114;WCC Leipzig - Schkeuditz;Berlin;;50165;Stellplätze;EG;1;;;114.L0001;LEERSTAND;01.11.2017;;;;;;;;;;;0;;;;;;0;0;;;;40;;;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
